lhs_size,rhs_size,naive_time_us,fft_time_us
300,300,1186,462
300,300,1119,439
300,300,871,443
300,300,1192,317
300,300,1016,550
300,300,1053,315
300,300,915,312
300,300,931,321
300,300,1514,466
300,300,934,321
300,300,1549,452
300,300,1879,323
300,300,869,318
300,300,934,325
300,300,1977,314
300,300,868,314
300,300,1379,317
300,300,927,348
300,300,921,315
300,300,951,402
300,300,1209,577
300,300,1270,492
300,300,938,316
300,300,924,319
300,300,928,316
300,300,931,319
300,300,1575,468
300,300,871,375
300,300,1313,417
300,300,1300,315
300,300,871,315
300,300,921,316
300,300,1575,662
300,300,870,316
300,300,911,312
300,300,1137,547
300,300,1277,456
300,300,884,374
300,300,929,314
300,300,913,314
300,300,988,320
300,300,924,331
300,300,985,317
300,300,931,314
300,300,910,313
300,300,871,374
300,300,915,314
300,300,928,318
300,300,921,357
300,300,1218,380
300,300,934,343
300,300,916,317
300,300,942,319
300,300,932,318
300,300,923,312
300,300,962,324
300,300,925,318
300,300,893,316
300,300,936,314
300,300,1003,314
300,300,980,315
300,300,871,317
300,300,894,315
300,300,1213,451
300,300,945,316
300,300,1215,433
300,300,917,315
300,300,916,311
300,300,871,313
300,300,930,315
300,300,1034,416
300,300,920,449
300,300,929,396
300,300,915,314
300,300,1448,459
300,300,942,314
300,300,906,343
300,300,871,326
300,300,1085,318
300,300,918,311
300,300,1265,433
300,300,1172,499
300,300,1031,411
300,300,1324,461
300,300,948,314
300,300,932,371
300,300,919,315
300,300,1327,414
300,300,916,335
300,300,935,327
300,300,948,312
300,300,1968,1322
300,300,871,315
300,300,971,330
300,300,1559,548
300,300,930,404
300,300,1470,316
300,300,926,316
300,300,919,328
300,300,924,316
300,300,1192,500
300,300,936,314
300,300,921,315
300,300,928,312
300,300,924,327
300,300,931,328
300,300,950,314
300,300,914,312
300,300,1461,469
300,300,915,313
300,300,1009,318
300,300,897,343
300,300,923,318
300,300,936,316
300,300,935,316
300,300,933,314
300,300,936,317
300,300,941,316
300,300,870,408
300,300,918,312
300,300,973,965
300,300,927,315
300,300,937,315
300,300,927,314
300,300,1228,533
300,300,987,318
300,300,947,344
300,300,909,315
300,300,1056,435
300,300,929,317
300,300,894,314
300,300,1068,433
300,300,968,325
300,300,919,314
300,300,1360,438
300,300,939,314
300,300,934,313
300,300,926,316
300,300,1259,313
300,300,922,315
300,300,940,441
300,300,919,316
300,300,947,317
300,300,989,321
300,300,918,313
300,300,914,323
300,300,874,329
300,300,932,321
300,300,926,315
300,300,922,317
300,300,958,317
300,300,917,379
300,300,927,315
300,300,926,315
300,300,867,314
300,300,1016,316
300,300,884,349
300,300,922,315
300,300,1296,387
